index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
44736,37127962,1,0,1,2,3,4,1,0,0,1,1,1,1,1,20
44737,37109802,1,0,0,2,3,4,1,1,0,1,0,1,0,1,24
44738,37096001,0,0,0,2,3,4,1,1,0,1,0,0,1,1,6
44739,36836220,1,0,0,2,3,4,1,1,0,1,0,0,0,1,22
44740,36726226,0,0,1,2,3,4,1,0,0,1,1,1,1,1,9
44741,36726225,0,0,1,2,3,4,0,0,0,1,1,1,1,1,13
44742,36073531,1,0,1,2,3,4,1,0,0,1,1,1,1,1,1
44743,35955527,0,0,1,2,3,4,1,1,1,1,1,1,1,1,5
44744,35742816,1,0,1,2,3,4,1,1,0,0,1,1,0,1,23
44745,35713340,1,0,1,2,3,4,1,1,0,1,1,0,0,1,26
44746,35659003,1,0,1,2,3,4,1,1,0,1,1,0,0,1,2
44747,35596656,1,0,1,2,3,4,1,1,0,1,1,1,0,1,15
44748,35551499,1,0,1,2,3,4,1,1,0,0,1,1,1,1,26
44749,35450437,1,0,1,2,3,4,1,0,0,1,1,1,1,1,13
44750,35359105,1,0,1,2,3,4,1,1,0,1,1,1,1,1,30
44751,35312035,1,0,1,2,3,4,1,1,0,1,1,1,1,1,5
44752,35234154,1,0,1,2,3,4,1,1,0,1,1,1,1,1,30
44753,35234115,0,0,0,2,3,4,1,1,0,1,0,1,1,1,13
44754,35176570,1,0,1,2,3,4,1,1,0,1,1,1,1,1,7
44755,35166140,1,0,1,2,3,4,1,1,0,1,1,0,0,1,10
44756,34579583,0,0,1,2,3,4,1,0,0,1,1,1,1,1,3
44757,34506527,0,0,1,2,3,4,1,0,0,0,1,1,1,1,7
44758,34188732,1,0,1,2,3,4,1,1,0,1,1,1,1,1,23
44759,34181027,1,0,1,2,3,4,1,1,0,1,1,1,0,1,18
44760,33970674,1,0,1,2,3,4,1,1,0,1,1,1,1,1,24
44761,33875937,1,0,1,2,3,4,1,1,0,1,1,0,1,1,32
44762,33715408,1,0,1,2,3,4,1,1,0,1,1,1,0,1,4
44763,33682178,0,0,1,2,3,4,1,1,0,1,1,1,1,1,25
44764,33583039,0,0,1,2,3,4,0,1,0,1,1,1,1,1,19
44765,33582999,1,0,0,2,3,4,1,1,0,1,0,1,1,1,13
44766,33179306,1,0,0,2,3,4,1,0,0,1,0,0,0,1,5
44767,32956679,0,0,1,2,3,4,1,1,0,1,1,1,1,1,10
44768,32740240,1,0,1,2,3,4,1,1,0,1,1,0,0,1,31
44769,32243654,1,0,1,2,3,4,1,1,0,1,1,1,1,1,30
44770,31627243,1,0,0,2,3,4,1,1,0,1,0,1,1,1,33
44771,31527113,1,0,0,2,3,4,1,1,0,1,0,1,1,1,20
44772,31370290,1,0,0,2,3,4,1,1,0,1,0,1,0,1,17
44773,31042570,1,0,1,2,3,4,1,0,0,1,1,1,1,1,5
44774,30758890,0,0,1,2,3,4,1,0,0,1,1,1,1,1,22
44775,30758883,0,0,1,2,3,4,1,0,0,1,1,1,1,1,19
44776,30570080,1,0,0,2,3,4,1,1,0,1,0,1,0,1,21
44777,30008122,1,0,0,2,3,4,1,1,0,1,0,1,0,1,9
44778,29991523,1,0,0,2,3,4,1,1,0,1,0,0,0,1,6
44779,29672952,1,0,0,2,3,4,1,0,1,1,0,0,1,1,23
44780,29613273,1,0,0,2,3,4,1,1,0,1,0,0,0,1,11
44781,29551482,0,0,1,2,3,4,1,1,0,1,1,1,1,1,7
44782,29293327,0,0,1,2,3,4,1,1,0,1,1,1,1,1,3
44783,29257828,0,0,1,2,3,4,0,0,0,0,1,1,1,1,1
44784,28843533,1,0,1,2,3,4,1,1,0,1,1,0,1,1,22
44785,28784999,0,0,1,2,3,4,1,1,0,1,1,1,1,1,21
44786,28346134,0,0,1,2,3,4,1,0,0,1,1,1,1,1,11
44787,28258191,1,0,1,2,3,4,1,1,0,1,1,1,0,1,26
44788,28086130,0,0,1,2,3,4,1,0,0,1,1,1,1,1,11
44789,27822968,1,0,1,2,3,4,1,0,1,1,1,1,1,1,4
44790,27662543,1,0,0,2,3,4,1,1,0,1,0,0,0,1,23
44791,27554385,1,0,0,2,3,4,1,1,0,1,0,1,1,1,5
44792,27527672,0,0,0,2,3,4,1,1,0,1,0,1,1,1,26
44793,26765986,0,0,1,2,3,4,1,1,0,1,1,0,0,1,6
44794,26742665,0,0,0,2,3,4,1,1,0,1,0,1,1,1,9
44795,26688248,0,0,1,2,3,4,1,0,0,1,1,1,1,1,20
44796,26346094,0,0,1,2,3,4,1,1,0,1,1,1,0,1,14
44797,25888762,0,0,0,2,3,4,1,1,0,1,0,0,0,1,15
44798,25595283,1,0,1,2,3,4,1,0,0,1,1,0,0,1,16
44799,24894894,1,0,1,2,3,4,0,0,0,1,1,1,1,1,11
44800,24894870,1,0,1,2,3,4,0,0,0,1,1,1,1,1,9
44801,24078401,1,0,1,2,3,4,0,0,0,1,1,1,1,1,17
44802,23353514,1,0,0,2,3,4,1,1,0,1,0,0,0,1,17
44803,21003547,1,0,1,2,3,4,1,1,0,1,1,0,0,1,11
44804,20157509,1,0,1,2,3,4,1,0,0,1,1,1,1,1,2
44805,18568955,1,0,1,2,3,4,0,0,0,0,1,1,1,1,3
44806,17596572,0,0,1,2,3,4,1,0,0,1,1,1,0,1,4
44807,16545917,0,0,1,2,3,4,1,1,0,1,1,1,1,1,16
44808,15452638,1,0,0,2,3,4,1,1,1,1,0,0,0,1,12
44809,14794126,0,0,0,2,3,4,1,1,0,1,0,1,0,1,8
44810,14262994,1,0,1,2,3,4,0,0,0,0,1,1,1,1,17
44811,13970485,1,0,1,2,3,4,1,0,1,1,1,0,0,1,5
44812,13144912,1,0,1,2,3,4,1,0,0,1,1,0,1,1,13
44813,12134429,1,0,1,2,3,4,1,1,0,1,1,1,1,1,7
44814,7755992,1,0,1,2,3,4,0,0,0,1,1,1,1,1,31
44815,5142790,0,0,1,2,3,4,0,0,0,0,1,1,1,1,14
44816,46042134,1,0,1,2,3,4,1,0,0,0,1,1,1,1,18
44817,46042133,1,0,1,2,3,4,1,0,0,0,1,1,1,1,22
44818,46042137,1,0,1,2,3,4,1,0,0,0,1,1,1,1,3
44819,46042136,1,0,1,2,3,4,1,0,0,0,1,1,1,1,4
44820,46042135,1,0,1,2,3,4,1,0,0,0,1,1,1,1,2
44821,46041749,1,0,1,2,3,4,1,0,0,0,1,1,1,1,9
44822,46041531,1,0,1,2,3,4,0,0,0,0,1,1,1,1,4
44823,46041529,1,0,1,2,3,4,1,0,0,0,1,1,1,1,13
44824,46041530,1,0,1,2,3,4,1,0,0,0,1,1,1,1,21
44825,46041535,1,0,1,2,3,4,0,0,0,0,1,1,1,1,2
44826,46041534,1,0,1,2,3,4,0,0,0,0,1,1,1,1,26
44827,46041537,1,0,1,2,3,4,1,0,0,0,1,1,1,1,26
44828,46041527,1,0,1,2,3,4,1,0,0,0,1,1,1,1,24
44829,46038023,0,0,1,2,3,4,1,0,0,0,1,1,1,1,29
44830,46037827,1,0,1,2,3,4,1,1,0,1,1,1,1,1,7
44831,46037795,1,0,1,2,3,4,1,1,0,1,1,1,0,1,12
44832,46037275,1,0,1,2,3,4,1,0,0,0,1,1,1,1,31
44833,46037190,0,0,1,2,3,4,1,0,0,0,1,1,1,1,13
44834,46036509,1,0,1,2,3,4,0,0,0,0,1,1,1,1,11
44835,46036506,0,0,1,2,3,4,1,0,0,0,1,1,1,1,18
44836,46035261,0,0,1,2,3,4,0,0,0,1,1,1,1,1,19
44837,46035103,1,0,1,2,3,4,0,0,0,1,1,1,1,1,18
44838,46035092,1,0,1,2,3,4,1,0,0,0,1,1,1,1,20
44839,46034925,1,0,1,2,3,4,0,0,0,1,1,1,1,1,30
44840,46034904,1,0,1,2,3,4,0,0,0,1,1,1,1,1,17
44841,46034892,0,0,1,2,3,4,0,0,0,1,1,1,1,1,11
